"Setting Applicability 
(refer to compliance section under Cover tab)",Category,CIS Section Header,CIS #,"CIS Setting Title
(for reference only)",Synapxe Setting Title,Synapxe Remediation Steps,Synapxe Verification Procedure,"Synapxe Exceptions
(Default exceptions to refer to CIS Benchmark)",Change Description / Remarks,"Manual Check 
(Y/N)?",Covered in Script,Notes
New,ADOPT,Configure Filesystem Kernel Modules,1.1.1.1,Ensure cramfs kernel module is not available,Ensure cramfs kernel module is not available,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure Filesystem Kernel Modules,1.1.1.2,Ensure freevxfs kernel module is not available,Ensure freevxfs kernel module is not available,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure Filesystem Kernel Modules,1.1.1.3,Ensure hfs kernel module is not available,Ensure hfs kernel module is not available,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure Filesystem Kernel Modules,1.1.1.4,Ensure hfsplus kernel module is not available,Ensure hfsplus kernel module is not available,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure Filesystem Kernel Modules,1.1.1.5,Ensure jffs2 kernel module is not available,Ensure jffs2 kernel module is not available,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure Filesystem Kernel Modules,1.1.1.6,Ensure squashfs kernel module is not available,Ensure squashfs kernel module is not available,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure Filesystem Kernel Modules,1.1.1.7,Ensure udf kernel module is not available,Ensure udf kernel module is not available,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure Filesystem Kernel Modules,1.1.1.8,Ensure usb-storage kernel module is not available,Ensure usb-storage kernel module is not available,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure Filesystem Partitions,1.1.2.1.1,Ensure /tmp is a separate partition,Ensure /tmp is a separate partition,Adopt CIS.,Adopt CIS.,"Logical Volume (LVM) is accepted as source for /tmp. 

If Logical Volume (LVM) is used instead of tmpfs, output for SOURCE and FSTYPE should reflect the corresponding values of the LVM.",Update to Exception notes.,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure Filesystem Partitions,1.1.2.1.2,Ensure nodev option set on /tmp partition,Ensure nodev option set on /tmp partition,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure Filesystem Partitions,1.1.2.1.3,Ensure nosuid option set on /tmp partition,Ensure nosuid option set on /tmp partition,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure Filesystem Partitions,1.1.2.1.4,Ensure noexec option set on /tmp partition,Ensure noexec option set on /tmp partition,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Configure Filesystem Partitions,1.1.2.2.1,Ensure /dev/shm is a separate partition,Ensure /dev/shm is a separate partition,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure Filesystem Partitions,1.1.2.2.2,Ensure nodev option set on /dev/shm partition,Ensure nodev option set on /dev/shm partition,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure Filesystem Partitions,1.1.2.2.3,Ensure nosuid option set on /dev/shm partition,Ensure nosuid option set on /dev/shm partition,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure Filesystem Partitions,1.1.2.2.4,Ensure noexec option set on /dev/shm partition,Ensure noexec option set on /dev/shm partition,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure Filesystem Partitions,1.1.2.3.1,Ensure separate partition exists for /home,Ensure separate partition exists for /home,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure Filesystem Partitions,1.1.2.3.2,Ensure nodev option set on /home partition,Ensure nodev option set on /home partition,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure Filesystem Partitions,1.1.2.3.3,Ensure nosuid option set on /home partition,Ensure nosuid option set on /home partition,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure Filesystem Partitions,1.1.2.4.1,Ensure separate partition exists for /var,Ensure separate partition exists for /var,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Configure Filesystem Partitions,1.1.2.4.2,Ensure nodev option set on /var partition,Ensure nodev option set on /var partition,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
